ABC1D23, 2025-11-27T11:30:00.000Z,2025-11-27T15:45:00.000Z           ,20   ,0   ,   20
DEF2E34,2025-11-27T12:15:00.000Z,2025-11-27T17:20:00.000Z,25,0,25
JKL4G56,2025-11-26T10:00:00.000Z,2025-11-26T21:30:00.000Z,0,0,0
GHI3F45,2025-11-26T11:45:00.000Z,2025-11-26T20:00:00.000Z,0,0,0
STU7J89,2025-11-25T13:00:00.000Z,2025-11-26T12:00:00.000Z,70,0,70
VWX8K90,2025-11-26T17:30:00.000Z,2025-11-26T22:45:00.000Z,20,0,20
MNO5H67,2025-11-27T09:00:00.000Z,2025-11-27T14:30:00.000Z,0,0,0
BCD1M23,2025-11-26T14:20:00.000Z,2025-11-27T11:15:00.000Z,70,0,70
NOP5Q67,2025-11-27T10:45:00.000Z,2025-11-27T16:00:00.000Z,25,0,25
QRS6R78,2025-11-25T19:00:00.000Z,2025-11-25T23:30:00.000Z,0,0,0
YZA9L01,2025-11-26T12:30:00.000Z,2025-11-26T18:45:00.000Z,20,0,20
PQR6I78,2025-11-27T13:20:00.000Z,2025-11-27T19:50:00.000Z,0,0,0
EFG2N34,2025-11-25T16:00:00.000Z,2025-11-26T13:00:00.000Z,70,0,70
TUV7S89,2025-11-26T15:15:00.000Z,2025-11-26T21:00:00.000Z,0,0,0
HIJ3O45,2025-11-27T11:00:00.000Z,2025-11-27T20:30:00.000Z,20,0,20
WXY8T90,2025-11-26T18:45:00.000Z,2025-11-27T12:20:00.000Z,70,0,70
ZAB9U01,2025-11-27T14:00:00.000Z,2025-11-27T17:30:00.000Z,20,0,20
ABC1D23,2025-11-25T11:00:00.000Z,2025-11-25T14:45:00.000Z,15,0,15
KLM4P56,2025-11-26T10:30:00.000Z,2025-11-26T22:15:00.000Z,20,0,20
CDE1V23,2025-11-27T12:00:00.000Z,2025-11-27T15:30:00.000Z,20,0,20
DEF2E34,2025-11-27T18:00:00.000Z,,,,
JKL4G56,2025-11-27T19:30:00.000Z,,,,
STU7J89,2025-11-27T20:15:00.000Z,,,,
MNO5H67,2025-11-27T17:45:00.000Z,,,,
BCD1M23,2025-11-27T16:20:00.000Z,,,,
NOP5Q67,2025-11-27T21:00:00.000Z,,,,
YZA9L01,2025-11-27T15:10:00.000Z,,,,
QRS6R78,2025-11-27T22:30:00.000Z,,,,
WXY8T90,2025-11-27T14:45:00.000Z,,,,
ZAB9U01,2025-11-27T23:00:00.000Z,,,,
